Unnamed: 0,Index,Title,Content,Level,Tag,Category,Author
0,158,['프로그래밍 시작하기 : 파이썬 입문 (Inflearn Original)'],"['입문', '문법', '프로그래밍', '업무', '자동화', '파이썬', '분석', '기초', '데이터']",입문자,['Python'],"['BEST', '개발 · 프로그래밍', '프로그래밍 언어']",['인프런']
1,159,['우아한 고성능 프로그래밍 언어 Rust 입문 및 활용'],['웹어셈블리'],초급자,"['rust', 'webassembly']","['NEW', '개발 · 프로그래밍', '프로그래밍 언어']",['김대현']
2,160,['[인프런x코드캠프] 부트캠프에서 만든 고농축 백엔드 코스'],"['커뮤니케이션', '프로그래밍', '포트폴리오', '고난', '통신', '언어', '학습', '실무', '집중', '프레임워크', '공략', '기술', '구현', '파일', '사이클', '기능', '이미지', '로그인', '프로젝트', '기초', '테스트', '스택', '웹', '서비스', '작성', '최신', '기반', '역량', '개념', '업로드', '코드', '증진', '결제']",입문자,"['NestJS', 'Node.js', 'JavaScript', 'Docker', 'TDD']","['BEST', '개발 · 프로그래밍', '백엔드']",['코드캠프']
3,161,['[게임 프로그래머 입문 올인원] C++ & 자료구조/알고리즘 & STL & 게임 수학 & Windows API & 게임 서버'],"['알고리즘', '프로그래밍', '게임', '수학', '서버', '자료구조']",입문자,"['C++', 'UE Blueprint', '게임수학', 'windows-api', '네트워크']","['게임 개발', '게임 프로그래밍']",['Rookiss']
4,162,['실전! 스프링 부트와 JPA 활용1 - 웹 애플리케이션 개발'],"['설계', '자바', '스프링부트', '웹', '실무', '개발', '최적', '도메인', '주도', '애플리케이션', '모델']",초급자,"['Java', 'Spring', '웹앱', 'Spring Boot', 'JPA']","['BEST', '개발 · 프로그래밍', '백엔드']",['김영한']
5,163,['고수가 되는 파이썬 : 동시성과 병렬성 문법 배우기 Feat. 멀티스레딩 vs 멀티프로세싱 (Inflearn Original)'],"['면접', '프로그래밍', '파이썬', '개발', '운영체제', '성능', '기술', '문법', '대비', '엔지니어', '개발자', '지식', '실전', '수준', '기반']",중급자,"['Python', '동시성']","['BEST', '개발 · 프로그래밍', '프로그래밍 언어']",['인프런']
6,164,['실리콘밸리 엔지니어가 가르치는 파이썬 기초부터 고급까지'],"['알고리즘', '파이썬', '베스트', '스킬', '코드']",입문자,"['Python', '알고리즘']","['BEST', '개발 · 프로그래밍', '프로그래밍 언어']",['Seungjoon Lee']
7,165,['ElasticSearch Essential'],"['기본', '개념', '트러블슈팅', '모니터링', '동작', '슈팅']",초급자,['Elasticsearch'],"['BEST', '개발 · 프로그래밍', '데브옵스 · 인프라']",['강진우']
8,166,['[왕초보편] 앱 8개를 만들면서 배우는 안드로이드 코틀린(Android Kotlin)'],"['안드로이드', '코틀린', '문법', '실습', '만들기', '앱', '파이어베이스']",입문자,"['Android', 'Kotlin', 'Firebase']","['BEST', '개발 · 프로그래밍', '모바일 앱 개발']",['개복치개발자']
9,167,['Slack 클론 코딩[실시간 채팅 with React]'],"['채팅', '스타', '초기', '프론트', '컴포넌트', '웹', '개발', '세팅', '리액트', '실시간', '리덕스', '일드']",중급자,"['클론코딩', 'React', 'TypeScript', 'Webpack', 'Babel']","['BEST', '개발 · 프로그래밍', '프론트엔드']",['조현영']
